Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
2312448461,2024-01-01,4293,7.3342279997137565,1918,48,26,193,516
6880113725,2024-01-02,4814,2.7223794986586163,2470,59,26,280,594
4230135415,2024-01-03,2098,8.86369582242311,2375,20,33,246,354
8318276197,2024-01-04,2131,2.9683482586045873,2345,15,15,252,409
5769332276,2024-01-05,3310,6.715070403254073,1777,2,27,254,372
8441851120,2024-01-06,8171,8.19186925881221,2390,18,1,259,452
1547039392,2024-01-07,7764,4.006060179104418,2494,5,25,120,369
9850871203,2024-01-08,4775,2.2704444113204425,1634,15,3,251,547
3281003132,2024-01-09,6215,9.533540042689854,1867,56,39,287,564
9506317483,2024-01-10,5186,7.210144506078805,2201,46,7,113,437
