Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
9746509563,2024-01-01,5956,6.63335348561296,1805,51,32,86,592
2308654950,2024-01-02,9913,5.888778854748126,1621,32,15,112,457
6175559307,2024-01-03,6655,5.497053466913588,2473,3,3,94,481
4231471359,2024-01-04,2936,3.8320233639522248,1834,31,38,122,538
5005957834,2024-01-05,7597,9.004826629456463,1514,35,17,73,309
3472381938,2024-01-06,8358,1.4719369244226754,1917,1,13,67,465
6446458662,2024-01-07,7789,9.30400224856921,1710,26,4,144,311
7673693773,2024-01-08,1225,7.318094287148568,2388,34,31,101,490
8326860497,2024-01-09,3907,1.6084622917656235,1764,27,39,200,596
7408400022,2024-01-10,6185,5.833082398100805,2271,25,24,210,486
