Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
4445679087,2024-01-01,7123,3.1965081324499116,2238,53,26,209,375
1295178220,2024-01-02,7891,1.1390895992630543,2215,29,7,282,345
5857588486,2024-01-03,7129,5.626963496646067,2281,22,15,209,337
4162966371,2024-01-04,7426,5.180588227634647,2450,0,13,217,527
2653763862,2024-01-05,3262,5.5580719946209785,1789,15,31,205,527
7639614533,2024-01-06,2880,1.736737610503047,2483,14,20,94,517
2975511424,2024-01-07,7754,7.151365015342933,1547,32,30,268,581
5057719122,2024-01-08,5024,1.2971169541626917,2224,47,30,80,403
8050561964,2024-01-09,3252,5.854307283957154,2043,13,4,77,423
1590063440,2024-01-10,6206,9.902780519577798,1852,19,16,89,533
