Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
5851047148,2024-01-01,7570,9.864853275142735,2321,43,31,60,418
1695495420,2024-01-02,4482,3.8337858038683685,1651,35,17,99,357
9801159361,2024-01-03,3231,3.418073538280082,2447,33,25,242,312
6944439326,2024-01-04,4062,5.4702080327757,2380,5,14,148,562
3022182235,2024-01-05,5863,5.918829097214655,2496,6,34,266,323
3608976067,2024-01-06,7698,5.658152640734282,1990,37,35,219,418
8127188901,2024-01-07,8705,5.302678630283256,2136,51,8,205,451
1056410435,2024-01-08,3218,9.358159091277509,1999,21,23,228,340
1334525000,2024-01-09,8633,7.412571286180462,2138,5,37,174,567
2320155311,2024-01-10,1787,2.7373614077424895,2141,19,16,165,364
