Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
1868757478,2024-01-01,7469,8.8364621109985,1584,46,4,102,340
5061287835,2024-01-02,7392,6.632312063807464,2018,22,22,259,548
7925604264,2024-01-03,3075,7.720044389262723,2197,15,23,71,550
8353703633,2024-01-04,8390,9.023023599730479,2004,44,28,286,488
3718936214,2024-01-05,6721,4.29781600394538,2305,51,1,135,553
4871487099,2024-01-06,2537,9.111772409060812,1641,38,17,80,389
2673581490,2024-01-07,5704,6.808474884945848,2156,42,23,271,389
1490195386,2024-01-08,9912,2.5509078307367754,1978,7,0,188,553
2506074026,2024-01-09,7843,2.9784167172671867,1975,58,17,103,590
3044281483,2024-01-10,3914,5.575115434165528,2478,19,25,261,595
