Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
2977318917,2024-01-01,8286,9.171429864684182,2463,14,18,132,301
1335673381,2024-01-02,4749,4.781407955354101,2043,59,30,186,518
6025018170,2024-01-03,6422,1.0277462613505528,1684,52,16,96,321
9571812381,2024-01-04,8353,9.082188589557445,2252,16,10,257,401
6257818730,2024-01-05,2420,6.050494959279437,2283,29,18,104,567
1447418007,2024-01-06,4954,6.945009391625948,2297,19,11,222,495
2284313048,2024-01-07,1332,9.335438527861623,1910,57,16,112,515
7575103495,2024-01-08,5280,7.872456853408474,1560,39,9,261,327
3837092872,2024-01-09,5372,7.350894302182023,1686,5,3,158,584
4672030942,2024-01-10,7467,9.26315636800754,1597,17,7,163,436
