Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
8,01/01/2023,13672,6.836,1633,15,5,218,749
4,01/02/2023,14506,7.253,2382,5,53,211,673
5,01/03/2023,4382,2.191,1697,49,40,174,811
10,01/04/2023,10206,5.103,2912,43,47,87,844
1,01/05/2023,2324,1.162,2943,53,29,77,925
9,01/06/2023,10456,5.228,2250,51,34,79,684
5,01/07/2023,7077,3.5385,2743,3,59,221,935
6,01/08/2023,13598,6.799,2585,54,32,136,963
10,01/09/2023,4168,2.084,2887,58,85,121,742
4,01/10/2023,13779,6.8895,2405,27,76,117,930
8,01/11/2023,10007,5.0035,2330,49,68,117,756
6,01/12/2023,14333,7.1665,2303,51,5,109,637
4,01/13/2023,9638,4.819,2029,11,43,230,923
6,01/14/2023,14813,7.4065,1997,17,22,148,989
10,01/15/2023,8475,4.2375,1827,45,14,98,867
1,01/16/2023,10593,5.2965,2880,28,50,171,613
6,01/17/2023,7971,3.9855,1937,10,43,180,746
3,01/18/2023,4233,2.1165,2524,38,63,62,643
4,01/19/2023,3372,1.686,2850,25,81,234,831
7,01/20/2023,10355,5.1775,2475,9,48,86,833
3,01/21/2023,14205,7.1025,2111,30,73,192,920
7,01/22/2023,9064,4.532,2999,50,35,222,956
6,01/23/2023,7114,3.557,2782,22,3,209,889
2,01/24/2023,9852,4.926,2518,48,5,122,985
10,01/25/2023,11528,5.764,1958,59,45,154,617
7,01/26/2023,7859,3.9295,1949,5,77,233,717
5,01/27/2023,3341,1.6705,2291,29,70,170,756
9,01/28/2023,2318,1.159,2909,19,51,135,739
5,01/29/2023,8801,4.4005,1975,32,82,70,632
2,01/30/2023,11405,5.7025,2732,52,76,65,998
8,01/31/2023,8642,4.321,2640,38,59,198,691
8,02/01/2023,12367,6.1835,1735,28,2,247,939
8,02/02/2023,9777,4.8885,2458,9,56,83,656
3,02/03/2023,11124,5.562,1712,28,13,125,810
3,02/04/2023,4464,2.232,2472,40,16,162,981
