Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
6,01/01/2023,4005,2.0025,2350,40,62,90,733
1,01/02/2023,6361,3.1805,2013,56,83,126,877
9,01/03/2023,12004,6.002,1866,8,67,83,660
8,01/04/2023,11088,5.544,1890,23,12,205,693
6,01/05/2023,14181,7.0905,2913,11,52,142,915
9,01/06/2023,5633,2.8165,2320,0,36,165,668
7,01/07/2023,12827,6.4135,2807,50,51,158,783
8,01/08/2023,13675,6.8375,2154,57,27,127,718
6,01/09/2023,11752,5.876,1543,1,10,234,933
10,01/10/2023,4279,2.1395,2474,37,84,152,797
1,01/11/2023,8059,4.0295,2753,31,78,138,684
3,01/12/2023,10307,5.1535,2310,39,22,180,979
2,01/13/2023,8306,4.153,2913,27,85,99,764
9,01/14/2023,5405,2.7025,2542,7,5,174,841
10,01/15/2023,3178,1.589,2243,16,0,197,834
7,01/16/2023,10270,5.135,1862,59,21,203,943
5,01/17/2023,14040,7.02,2120,51,5,60,837
3,01/18/2023,14026,7.013,2637,11,49,72,881
3,01/19/2023,12718,6.359,2830,8,83,139,962
4,01/20/2023,14427,7.2135,2422,19,0,173,653
1,01/21/2023,7731,3.8655,1513,45,69,246,808
5,01/22/2023,5014,2.507,2148,58,6,79,826
5,01/23/2023,5121,2.5605,1720,3,48,89,748
10,01/24/2023,12362,6.181,2465,28,40,211,758
5,01/25/2023,4613,2.3065,2713,12,40,143,917
4,01/26/2023,11363,5.6815,2053,38,30,146,670
5,01/27/2023,5984,2.992,2646,8,29,177,765
8,01/28/2023,8269,4.1345,2453,12,80,151,759
8,01/29/2023,2888,1.444,2227,45,10,151,705
2,01/30/2023,13425,6.7125,2865,9,39,163,737
7,01/31/2023,11462,5.731,2147,20,46,231,680
1,02/01/2023,12049,6.0245,2172,55,76,139,733
10,02/02/2023,3971,1.9855,1650,8,73,169,655
2,02/03/2023,13804,6.902,2359,51,41,61,835
1,02/04/2023,10157,5.0785,2811,5,71,232,614
1,02/05/2023,12456,6.228,1843,13,82,73,785
3,02/06/2023,2763,1.3815,1737,14,39,244,756
2,02/07/2023,5990,2.995,1883,20,69,155,623
1,02/08/2023,12548,6.274,2280,4,22,227,625
8,02/09/2023,6687,3.3435,1559,0,0,136,723
10,02/10/2023,6504,3.252,2603,51,71,210,704
3,02/11/2023,8775,4.3875,2699,40,87,204,655
9,02/12/2023,5767,2.8835,2430,57,38,189,888
2,02/13/2023,4186,2.093,2148,8,58,153,797
10,02/14/2023,6873,3.4365,1946,59,87,199,855
3,02/15/2023,8915,4.4575,2897,39,64,217,611
5,02/16/2023,14231,7.1155,1547,56,89,189,862
8,02/17/2023,7733,3.8665,1515,33,12,170,998
5,02/18/2023,13431,6.7155,2784,7,38,225,914
10,02/19/2023,5008,2.504,1617,3,79,235,995
8,02/20/2023,6292,3.146,2917,49,68,61,913
6,02/21/2023,3351,1.6755,1795,24,84,179,646
6,02/22/2023,13853,6.9265,2634,38,12,232,680
10,02/23/2023,2884,1.442,2564,15,87,63,716
2,02/24/2023,12539,6.2695,2377,23,34,176,755
1,02/25/2023,7061,3.5305,2123,35,58,102,957
4,02/26/2023,3802,1.901,2082,20,41,82,776
9,02/27/2023,8412,4.206,2199,18,88,211,742
3,02/28/2023,4691,2.3455,2648,7,49,107,767
9,03/01/2023,4860,2.43,2598,39,68,223,681
3,03/02/2023,2920,1.46,2238,47,13,138,660
10,03/03/2023,14442,7.221,2213,37,72,198,954
6,03/04/2023,6311,3.1555,2659,11,73,222,932
7,03/05/2023,8642,4.321,2225,53,42,169,926
6,03/06/2023,4740,2.37,1964,56,50,186,693
5,03/07/2023,4651,2.3255,2172,50,75,93,709
7,03/08/2023,7177,3.5885,2981,13,54,185,893
6,03/09/2023,11078,5.539,2595,55,34,167,822
4,03/10/2023,14171,7.0855,2863,24,71,238,792
3,03/11/2023,11908,5.954,2619,53,25,109,722
8,03/12/2023,4539,2.2695,2762,50,72,166,820
5,03/13/2023,2927,1.4635,2228,0,23,168,831
8,03/14/2023,4506,2.253,2332,21,72,89,632
1,03/15/2023,3542,1.771,2612,29,76,146,729
1,03/16/2023,8940,4.47,1765,33,35,84,833
7,03/17/2023,12930,6.465,2490,5,84,231,641
10,03/18/2023,12647,6.3235,1668,0,30,205,892
8,03/19/2023,3053,1.5265,2332,40,77,135,605
8,03/20/2023,8558,4.279,1805,51,80,84,882
1,03/21/2023,8881,4.4405,1522,59,77,197,794
1,03/22/2023,5162,2.581,2563,9,53,241,863
10,03/23/2023,11257,5.6285,1780,17,75,86,675
9,03/24/2023,12151,6.0755,2989,40,59,94,619
4,03/25/2023,12653,6.3265,1754,40,56,155,871
3,03/26/2023,9660,4.83,2336,34,37,112,899
3,03/27/2023,6846,3.423,1959,37,14,108,788
3,03/28/2023,2361,1.1805,2043,37,46,144,944
5,03/29/2023,12956,6.478,2553,59,45,160,675
6,03/30/2023,4599,2.2995,2628,4,37,167,943
2,03/31/2023,9080,4.54,2747,50,75,77,857
