Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
6342513773,2024-01-01,1747,6.6103989441176445,1860,33,16,227,590
6544652086,2024-01-02,2581,7.43584855981426,2199,46,34,295,592
1843008503,2024-01-03,7693,4.014975271184122,1643,55,6,235,398
4827572954,2024-01-04,8275,2.0790615441049365,1797,30,5,219,430
4857200591,2024-01-05,5723,2.3189663755476477,2048,23,34,299,326
4671705738,2024-01-06,8863,8.906249901103187,1689,7,36,96,546
9817578073,2024-01-07,9450,5.497671651776893,1914,50,21,196,414
7979421843,2024-01-08,3326,6.51984748779719,1692,35,32,290,384
1921049348,2024-01-09,7916,2.2661397003939854,2244,4,21,123,504
2927898983,2024-01-10,8588,6.074714069859805,1876,11,16,231,354
