Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
9644604553,2024-01-01,6813,3.1447945170610194,2120,2,17,147,534
8743843509,2024-01-02,4125,7.809338790233501,1973,23,0,141,421
9717863498,2024-01-03,5091,6.592207657100216,1743,12,35,205,309
2310030785,2024-01-04,8932,6.597314373778491,2184,37,8,280,351
6898057799,2024-01-05,5146,6.465593502794484,2036,49,17,199,464
3027070231,2024-01-06,4051,4.702204950442535,1834,7,33,290,331
5875231219,2024-01-07,8450,7.112434577271651,2164,56,20,163,373
2689415426,2024-01-08,6900,8.347358374096947,2078,2,23,158,433
7210315358,2024-01-09,2275,7.832551194736622,2107,50,20,262,437
6843952047,2024-01-10,7129,6.180011347326391,1670,20,18,82,369
