Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
7417203490,2024-01-01,5336,8.674497747499812,1770,12,20,269,456
5813457965,2024-01-02,9516,2.7628595758842924,1825,24,37,184,445
7134378041,2024-01-03,9221,9.341885783621102,2436,8,16,192,565
4031025010,2024-01-04,5412,1.7427708463696363,1919,2,19,215,560
9273381395,2024-01-05,5472,9.37017733943282,1910,51,11,288,532
8997395220,2024-01-06,3608,3.7763130822316935,2236,26,15,71,566
2433432772,2024-01-07,4786,4.967059924371972,2268,36,24,211,382
2789894213,2024-01-08,3735,2.0163205671625355,2163,28,35,179,483
8917276220,2024-01-09,4140,1.4208615977042203,2351,52,20,137,546
6910057165,2024-01-10,5342,6.548500189459572,1722,19,16,178,350
