Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
9393018343,2024-01-01,9602,1.8002293017376427,2137,37,14,239,357
8633257293,2024-01-02,5886,9.897806788865225,2269,24,14,269,389
4907385491,2024-01-03,1954,2.3320332150986927,2199,23,28,66,550
2185958652,2024-01-04,7331,4.821082569639045,1974,0,13,289,304
4040843601,2024-01-05,1215,1.0118458829387849,2016,31,39,196,312
8410784392,2024-01-06,3753,5.5702851108966325,1952,31,5,175,381
9306490906,2024-01-07,8949,7.174729996891372,1922,18,16,145,340
4113356750,2024-01-08,5882,5.514824440106797,2038,50,27,115,330
4166339715,2024-01-09,5290,2.7687809755615533,2240,57,39,252,592
2525476623,2024-01-10,8964,9.501657948533655,1510,42,23,139,443
