Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
7415453643,2024-01-01,7986,4.185414638075137,1969,28,29,220,596
9437579855,2024-01-02,3078,8.704286780046159,1735,22,22,71,506
2934211826,2024-01-03,5370,7.041556039004461,1859,24,25,192,565
4294813449,2024-01-04,4483,5.247626687157913,1641,15,20,185,498
7176447987,2024-01-05,3873,8.041749960568072,2191,27,20,177,406
3486129397,2024-01-06,7104,5.801846659441924,1995,12,10,296,502
6743435350,2024-01-07,5332,5.6236291679185415,1792,11,32,180,330
2083225076,2024-01-08,5933,1.8014964775112363,2454,5,5,93,418
3897311596,2024-01-09,5163,5.079045338787067,2194,47,38,254,469
5425751283,2024-01-10,2965,6.3222842355019955,1575,37,3,232,402
