Id,SleepDate,TotalMinutesAsleep,TotalTimeInBed
8,01/01/2023,385,405
4,01/02/2023,324,359
5,01/03/2023,493,522
10,01/04/2023,312,361
1,01/05/2023,475,487
9,01/06/2023,313,362
5,01/07/2023,476,492
6,01/08/2023,368,392
10,01/09/2023,514,569
4,01/10/2023,502,519
8,01/11/2023,411,444
6,01/12/2023,460,490
4,01/13/2023,353,372
6,01/14/2023,312,350
10,01/15/2023,376,432
1,01/16/2023,509,557
6,01/17/2023,310,356
3,01/18/2023,326,337
4,01/19/2023,366,396
7,01/20/2023,300,320
3,01/21/2023,316,328
7,01/22/2023,413,466
6,01/23/2023,523,547
2,01/24/2023,401,441
10,01/25/2023,401,456
7,01/26/2023,379,428
5,01/27/2023,344,381
9,01/28/2023,462,520
5,01/29/2023,420,471
2,01/30/2023,477,516
8,01/31/2023,336,359
8,02/01/2023,516,574
8,02/02/2023,505,562
3,02/03/2023,355,388
3,02/04/2023,322,360
8,02/05/2023,491,536
6,02/06/2023,466,493
1,02/07/2023,404,449
2,02/08/2023,442,462
8,02/09/2023,363,422
7,02/10/2023,417,440
2,02/11/2023,395,427
6,02/12/2023,421,449
2,02/13/2023,530,570
4,02/14/2023,486,539
2,02/15/2023,477,505
10,02/16/2023,310,361
1,02/17/2023,452,469
3,02/18/2023,423,441
5,02/19/2023,358,410
1,02/20/2023,480,525
2,02/21/2023,307,356
4,02/22/2023,421,440
7,02/23/2023,383,430
1,02/24/2023,439,451
5,02/25/2023,469,483
9,02/26/2023,523,543
9,02/27/2023,332,357
9,02/28/2023,484,513
3,03/01/2023,376,428
7,03/02/2023,423,477
5,03/03/2023,375,411
8,03/04/2023,332,377
2,03/05/2023,515,534
1,03/06/2023,365,399
3,03/07/2023,381,411
2,03/08/2023,300,350
5,03/09/2023,518,546
8,03/10/2023,347,389
1,03/11/2023,394,429
5,03/12/2023,316,349
5,03/13/2023,453,499
8,03/14/2023,427,451
6,03/15/2023,539,557
5,03/16/2023,455,492
7,03/17/2023,431,480
6,03/18/2023,495,529
7,03/19/2023,468,506
9,03/20/2023,443,459
9,03/21/2023,502,512
9,03/22/2023,304,352
3,03/23/2023,453,474
9,03/24/2023,420,431
3,03/25/2023,327,375
5,03/26/2023,307,342
3,03/27/2023,460,514
7,03/28/2023,410,448
7,03/29/2023,384,421
2,03/30/2023,489,544
3,03/31/2023,331,380
8,04/01/2023,539,564
7,04/02/2023,433,483
10,04/03/2023,360,387
3,04/04/2023,539,566
10,04/05/2023,348,401
3,04/06/2023,309,344
7,04/07/2023,356,388
3,04/08/2023,526,579
8,04/09/2023,443,471
5,04/10/2023,383,416
